YYMM;   Energy Del;   Energy Ret;    Gas Del;
1809;     1551.193;      699.821;    1215.31;
1808;     1539.081;      641.701;    1210.20;
1807;     1495.082;      583.602;    1193.19;
1806;     1453.063;      525.503;    1175.13;
1805;     1403.054;      467.405;    1152.17;
1804;     1324.055;      417.307;    1099.14;
1803;     1193.036;      377.209;     948.15;
1802;     1064.027;      347.104;     763.15;
1801;      971.028;      327.906;     642.13;
1712;      871.129;      307.808;     520.16;
1711;      770.110;      287.701;     400.11;
1710;      672.102;      267.602;     281.17;
1709;      573.094;      237.503;     201.09;
1708;      526.088;      197.404;     161.08;
1707;      482.071;      147.307;     144.07;
1706;      440.063;       97.209;     126.09;
1705;      390.055;       57.103;     103.05;
1704;      311.046;       27.901;      50.01;
1703;      181.039;        7.807;     -99.03;
1702;       51.022;       -3.703;    -219.02;
1701;      -48.943;      -13.600;    -339.01;
1612;      -48.943;      -13.600;    -339.01;
1611;      -48.943;      -13.600;    -339.01;
1610;      -48.943;      -13.600;    -339.01;
